Species	Species_common_name	Host	Host_common_name	Adult_morph	Plumage	Locality	Lat	Long	Collection_date	Reg_No	Sample_type	Library_id	Library_prep	Library_type	Mito	Sex
Chalcites_minutillus	Little_bronze_cuckoo	Gerygone_palpebrosa	Fairy_Gerygone	NA	NA	Iron_Range_QLD	-12.72705	143.2851	26.09.2019	2_09FG	Feather	DS065_HR	double_stranded	hyrad	Yes	NA
Chalcites_minutillus	Little_bronze_cuckoo	Gerygone_magnirostris	Large_billed_Gerygone	NA	NA	Lily_Creek_QLD	-16.91214	145.7594	27.09.2017	17J608	Ethanol-preserved_embryo	DS068_HR	double_stranded	hyrad	Yes	NA
Chalcites_minutillus	Little_bronze_cuckoo	Gerygone_magnirostris	Large_billed_Gerygone	NA	NA	Cairns_QLD	-16.90503	145.76331	23.11.2007	G97/07B	Frozen_embryos	DS070_HR	double_stranded	hyrad	Yes	NA
Chalcites_minutillus	Little_bronze_cuckoo	Gerygone_magnirostris	Large_billed_Gerygone	NA	NA	Cairns_QLD	-16.90503	145.76331	23.11.2007	G97/07A	Frozen_embryos	DS071_HR	double_stranded	hyrad	Yes	NA
Chalcites_minutillus	Little_bronze_cuckoo	NA	NA	QLD_minutillus	Black_and_white	NA	-17.5433	140.8011	NA	B29526	Adult_tissue	DS073_HR	double_stranded	hyrad	Yes	Male
Chalcites_minutillus	Little_bronze_cuckoo	NA	NA	QLD_minutillus	Black_and_white	NA	-17.5433	140.8011	NA	B29527	Adult_tissue	DS074_HR	double_stranded	hyrad	Yes	Male
Chalcites_minutillus	Little_bronze_cuckoo	NA	NA	QLD_minutillus	Black_and_white	NA	-17.5433	140.8011	NA	B29528	Adult_tissue	DS075_HR	double_stranded	hyrad	Yes	Male
Chalcites_minutillus	Little_bronze_cuckoo	NA	NA	QLD_minutillus	Black_and_white	NA	-17.5433	140.8011	NA	B29529	Adult_tissue	DS076_HR	double_stranded	hyrad	Yes	Female
Chalcites_minutillus	Little_bronze_cuckoo	NA	NA	QLD_NSW_barnardi	Black_and_white	NA	-17.4722	141.1922	NA	B29532	Adult_tissue	DS077_HR	double_stranded	hyrad	Yes	Male
Chalcites_minutillus	Little_bronze_cuckoo	NA	NA	QLD_NSW_barnardi	Black_and_white	NA	-17.4722	141.1922	NA	B29576	Adult_tissue	DS078_HR	double_stranded	hyrad	Yes	Male
Chalcites_minutillus	Little_bronze_cuckoo	NA	NA	NT_K_minutillus	Black_and_white	NA	-16.0497	141.5878	NA	B29683	Adult_tissue	DS079_HR	double_stranded	hyrad	Yes	Immature
Chalcites_minutillus	Little_bronze_cuckoo	NA	NA	QLD_russatus	Brown_black_white	NA	-12.8167	141.9	NA	B29875	Adult_tissue	DS080_HR	double_stranded	hyrad	Yes	Male
Chalcites_minutillus	Little_bronze_cuckoo	NA	NA	QLD_russatus	Brown_black_white	NA	-12.8	141.9	NA	B29877	Adult_tissue	DS081_HR	double_stranded	hyrad	Yes	Female
Chalcites_minutillus	Little_bronze_cuckoo	NA	NA	QLD_russatus	Brown_black_white	NA	-20.9217	148.92	NA	B31160	Adult_tissue	DS082_HR	double_stranded	hyrad	Yes	Male
Chalcites_minutillus	Little_bronze_cuckoo	NA	NA	QLD_russatus	Brown_black_white	NA	-19.7361	147.5553	NA	B31213	Adult_tissue	DS083_HR	double_stranded	hyrad	Yes	Male
Chalcites_minutillus	Little_bronze_cuckoo	NA	NA	QLD_russatus	Brown_black_white	NA	-19.7361	147.5553	NA	B31214	Adult_tissue	DS084_HR	double_stranded	hyrad	Yes	Male
Chalcites_minutillus	Little_bronze_cuckoo	NA	NA	QLD_russatus	Brown_black_white	NA	-15.7139	145.2917	NA	B31511	Adult_tissue	DS085_HR	double_stranded	hyrad	Yes	Male
Chalcites_minutillus	Little_bronze_cuckoo	NA	NA	QLD_russatus	Brown_black_white	NA	-15.7583	145.225	NA	B31527	Adult_tissue	DS086_HR	double_stranded	hyrad	Yes	Male
Chalcites_minutillus	Little_bronze_cuckoo	NA	NA	QLD_NSW_barnardi	Black_and_white	NA	-19.3833	146.7167	NA	B32571	Adult_tissue	DS087_HR	double_stranded	hyrad	Yes	Female
Chalcites_minutillus	Little_bronze_cuckoo	NA	NA	NT_K_minutillus	Black_and_white	NA	-12.4167	131.2114	NA	B33741	Adult_tissue	DS088_HR	double_stranded	hyrad	Yes	Male
Chalcites_minutillus	Little_bronze_cuckoo	NA	NA	QLD_NSW_barnardi	Black_and_white	NA	-29.8094	152.8953	NA	B43278	Adult_tissue	DS089_HR	double_stranded	hyrad	Yes	Male
Chalcites_minutillus	Little_bronze_cuckoo	NA	NA	QLD_NSW_barnardi	Black_and_white	NA	-22.5072	150.1672	NA	B43838	Adult_tissue	DS090_HR	double_stranded	hyrad	Yes	Male
Chalcites_minutillus	Little_bronze_cuckoo	NA	NA	QLD_russatus	Brown_black_white	NA	-22.8139	150.3611	NA	B44314	Adult_tissue	DS091_HR	double_stranded	hyrad	Yes	Male
Chalcites_minutillus	Little_bronze_cuckoo	NA	NA	NT_K_minutillus	Black_and_white	NA	-11.7197	130.6733	NA	B48595	Adult_tissue	DS092_HR	double_stranded	hyrad	Yes	Male
Chalcites_minutillus	Little_bronze_cuckoo	NA	NA	NT_K_minutillus	Black_and_white	NA	-12.42	131.2242	NA	B50016	Adult_tissue	DS093_HR	double_stranded	hyrad	Yes	Female
Chalcites_minutillus	Little_bronze_cuckoo	NA	NA	NT_K_minutillus	Black_and_white	NA	-12.42	131.2242	NA	B50017	Adult_tissue	DS094_HR	double_stranded	hyrad	Yes	Female
Chalcites_minutillus	Little_bronze_cuckoo	NA	NA	NT_K_minutillus	Black_and_white	NA	-17.3147	123.5478	NA	B50519	Adult_tissue	DS095_HR	double_stranded	hyrad	Yes	Male
Chalcites_minutillus	Little_bronze_cuckoo	NA	NA	QLD_minutillus	Black_and_white	NA	-15.3617	141.7003	NA	B51778	Adult_tissue	DS096_HR	double_stranded	hyrad	Yes	Male
Chalcites_minutillus	Little_bronze_cuckoo	NA	NA	QLD_minutillus	Black_and_white	NA	-15.3617	141.7003	NA	B51780	Adult_tissue	DS097_HR	double_stranded	hyrad	Yes	NA
